p,rev_p,dr_p,dr_revp,product_dr,product_in_col1,diff,diff_dr,p_mod37,revp_mod37,same_mod37,chi_p,col_p
13,31,4,4,7,True,18,9,13,31,False,1,COL1
17,71,8,8,1,True,54,9,17,34,False,-1,COL2
37,73,1,1,1,True,36,9,0,36,False,1,COL1
79,97,7,7,4,True,18,9,5,23,False,1,COL1
107,701,8,8,1,True,594,9,33,35,False,-1,COL2
113,311,5,5,7,True,198,9,2,15,False,-1,COL2
149,941,5,5,7,True,792,9,1,16,False,-1,COL2
157,751,4,4,7,True,594,9,9,11,False,1,COL1
167,761,5,5,7,True,594,9,19,21,False,-1,COL2
179,971,8,8,1,True,792,9,31,9,False,-1,COL2
199,991,1,1,1,True,792,9,14,29,False,1,COL1
337,733,4,4,7,True,396,9,4,30,False,1,COL1
347,743,5,5,7,True,396,9,14,3,False,-1,COL2
359,953,8,8,1,True,594,9,26,28,False,-1,COL2
389,983,2,2,4,True,594,9,19,21,False,-1,COL2
709,907,7,7,4,True,198,9,6,19,False,1,COL1
739,937,1,1,1,True,198,9,36,12,False,1,COL1
769,967,4,4,7,True,198,9,29,5,False,1,COL1
1009,9001,1,1,1,True,7992,9,10,10,True,1,COL1
1021,1201,4,4,7,True,180,9,22,17,False,1,COL1
1031,1301,5,5,7,True,270,9,32,6,False,-1,COL2
1033,3301,7,7,4,True,2268,9,34,8,False,1,COL1
1061,1601,8,8,1,True,540,9,25,10,False,-1,COL2
1069,9601,7,7,4,True,8532,9,33,18,False,1,COL1
1091,1901,2,2,4,True,810,9,18,14,False,-1,COL2
1097,7901,8,8,1,True,6804,9,24,20,False,-1,COL2
1103,3011,5,5,7,True,1908,9,30,14,False,-1,COL2
1109,9011,2,2,4,True,7902,9,36,20,False,-1,COL2
1151,1511,8,8,1,True,360,9,4,31,False,-1,COL2
1153,3511,1,1,1,True,2358,9,6,33,False,1,COL1
1181,1811,2,2,4,True,630,9,34,35,False,-1,COL2
1193,3911,5,5,7,True,2718,9,9,26,False,-1,COL2
1213,3121,7,7,4,True,1908,9,29,13,False,1,COL1
1217,7121,2,2,4,True,5904,9,33,17,False,-1,COL2
1223,3221,8,8,1,True,1998,9,2,2,True,-1,COL2
1229,9221,5,5,7,True,7992,9,8,8,True,-1,COL2
1231,1321,7,7,4,True,90,9,10,26,False,1,COL1
1237,7321,4,4,7,True,6084,9,16,32,False,1,COL1
1249,9421,7,7,4,True,8172,9,28,23,False,1,COL1
1259,9521,8,8,1,True,8262,9,1,12,False,-1,COL2
1279,9721,1,1,1,True,8442,9,21,27,False,1,COL1
1283,3821,5,5,7,True,2538,9,25,10,False,-1,COL2
1381,1831,4,4,7,True,450,9,12,18,False,1,COL1
1399,9931,4,4,7,True,8532,9,30,15,False,1,COL1
1409,9041,5,5,7,True,7632,9,3,13,False,-1,COL2
1429,9241,7,7,4,True,7812,9,23,28,False,1,COL1
1439,9341,8,8,1,True,7902,9,33,17,False,-1,COL2
1453,3541,4,4,7,True,2088,9,10,26,False,1,COL1
1471,1741,4,4,7,True,270,9,28,2,False,1,COL1
1487,7841,2,2,4,True,6354,9,7,34,False,-1,COL2
1499,9941,5,5,7,True,8442,9,19,25,False,-1,COL2
1523,3251,2,2,4,True,1728,9,6,32,False,-1,COL2
1559,9551,2,2,4,True,7992,9,5,5,True,-1,COL2
1583,3851,8,8,1,True,2268,9,29,3,False,-1,COL2
1597,7951,4,4,7,True,6354,9,6,33,False,1,COL1
1619,9161,8,8,1,True,7542,9,28,22,False,-1,COL2
1657,7561,1,1,1,True,5904,9,29,13,False,1,COL1
1669,9661,4,4,7,True,7992,9,4,4,True,1,COL1
1723,3271,4,4,7,True,1548,9,21,15,False,1,COL1
1733,3371,5,5,7,True,1638,9,31,4,False,-1,COL2
1753,3571,7,7,4,True,1818,9,14,19,False,1,COL1
1789,9871,7,7,4,True,8082,9,13,29,False,1,COL1
1847,7481,2,2,4,True,5634,9,34,7,False,-1,COL2
1867,7681,4,4,7,True,5814,9,17,22,False,1,COL1
1879,9781,7,7,4,True,7902,9,29,13,False,1,COL1
1913,3191,5,5,7,True,1278,9,26,9,False,-1,COL2
1933,3391,7,7,4,True,1458,9,9,24,False,1,COL1
1949,9491,5,5,7,True,7542,9,25,19,False,-1,COL2
1979,9791,8,8,1,True,7812,9,18,23,False,-1,COL2
3019,9103,4,4,7,True,6084,9,22,1,False,1,COL1
3023,3203,8,8,1,True,180,9,26,21,False,-1,COL2
3049,9403,7,7,4,True,6354,9,15,5,False,1,COL1
3067,7603,7,7,4,True,4536,9,33,18,False,1,COL1
3083,3803,5,5,7,True,720,9,12,29,False,-1,COL2
3089,9803,2,2,4,True,6714,9,18,35,False,-1,COL2
3109,9013,4,4,7,True,5904,9,1,22,False,1,COL1
3163,3613,4,4,7,True,450,9,18,24,False,1,COL1
3169,9613,1,1,1,True,6444,9,24,30,False,1,COL1
3257,7523,8,8,1,True,4266,9,1,12,False,-1,COL2
3299,9923,5,5,7,True,6624,9,6,7,False,-1,COL2
3319,9133,7,7,4,True,5814,9,26,31,False,1,COL1
3343,3433,4,4,7,True,90,9,13,29,False,1,COL1
3347,7433,8,8,1,True,4086,9,17,33,False,-1,COL2
3359,9533,2,2,4,True,6174,9,29,24,False,-1,COL2
3373,3733,7,7,4,True,360,9,6,33,False,1,COL1
3389,9833,5,5,7,True,6444,9,22,28,False,-1,COL2
3407,7043,5,5,7,True,3636,9,3,13,False,-1,COL2
3463,3643,7,7,4,True,180,9,22,17,False,1,COL1
3467,7643,2,2,4,True,4176,9,26,21,False,-1,COL2
3469,9643,4,4,7,True,6174,9,28,23,False,1,COL1
3527,7253,8,8,1,True,3726,9,12,1,False,-1,COL2
3583,3853,1,1,1,True,270,9,31,5,False,1,COL1
3697,7963,7,7,4,True,4266,9,34,8,False,1,COL1
3719,9173,2,2,4,True,5454,9,19,34,False,-1,COL2
3767,7673,5,5,7,True,3906,9,30,14,False,-1,COL2
3889,9883,1,1,1,True,5994,9,4,4,True,1,COL1
3917,7193,2,2,4,True,3276,9,32,15,False,-1,COL2
3929,9293,5,5,7,True,5364,9,7,6,False,-1,COL2
7027,7207,7,7,4,True,180,9,34,29,False,1,COL1
7057,7507,1,1,1,True,450,9,27,33,False,1,COL1
7177,7717,4,4,7,True,540,9,36,21,False,1,COL1
7187,7817,5,5,7,True,630,9,9,10,False,-1,COL2
7219,9127,1,1,1,True,1908,9,4,25,False,1,COL1
7229,9227,2,2,4,True,1998,9,14,14,True,-1,COL2
7297,7927,7,7,4,True,630,9,8,9,False,1,COL1
7349,9437,5,5,7,True,2088,9,23,2,False,-1,COL2
7457,7547,5,5,7,True,90,9,20,36,False,-1,COL2
7459,9547,7,7,4,True,2088,9,22,1,False,1,COL1
7529,9257,5,5,7,True,1728,9,18,7,False,-1,COL2
7577,7757,8,8,1,True,180,9,29,24,False,-1,COL2
7589,9857,2,2,4,True,2268,9,4,15,False,-1,COL2
7649,9467,8,8,1,True,1818,9,27,32,False,-1,COL2
7687,7867,1,1,1,True,180,9,28,23,False,1,COL1
7699,9967,4,4,7,True,2268,9,3,14,False,1,COL1
7879,9787,4,4,7,True,1908,9,35,19,False,1,COL1
7949,9497,2,2,4,True,1548,9,31,25,False,-1,COL2
9029,9209,2,2,4,True,180,9,1,33,False,-1,COL2
9349,9439,7,7,4,True,90,9,25,4,False,1,COL1
9479,9749,2,2,4,True,270,9,7,18,False,-1,COL2
9679,9769,4,4,7,True,90,9,22,1,False,1,COL1
10007,70001,8,8,1,True,59994,9,17,34,False,-1,COL2
10009,90001,1,1,1,True,79992,9,19,17,False,1,COL1
10039,93001,4,4,7,True,82962,9,12,20,False,1,COL1
10061,16001,8,8,1,True,5940,9,34,17,False,-1,COL2
10067,76001,5,5,7,True,65934,9,3,3,True,-1,COL2
10069,96001,7,7,4,True,85932,9,5,23,False,1,COL1
10079,97001,8,8,1,True,86922,9,15,24,False,-1,COL2
10091,19001,2,2,4,True,8910,9,27,20,False,-1,COL2
10151,15101,8,8,1,True,4950,9,13,5,False,-1,COL2
10159,95101,7,7,4,True,84942,9,21,11,False,1,COL1
10177,77101,7,7,4,True,66924,9,2,30,False,1,COL1
10247,74201,5,5,7,True,63954,9,35,16,False,-1,COL2
10253,35201,2,2,4,True,24948,9,4,14,False,-1,COL2
10273,37201,4,4,7,True,26928,9,24,16,False,1,COL1
10321,12301,7,7,4,True,1980,9,35,17,False,1,COL1
10333,33301,1,1,1,True,22968,9,10,1,False,1,COL1
10343,34301,2,2,4,True,23958,9,20,2,False,-1,COL2
10391,19301,5,5,7,True,8910,9,31,24,False,-1,COL2
10429,92401,7,7,4,True,81972,9,32,12,False,1,COL1
10453,35401,4,4,7,True,24948,9,19,29,False,1,COL1
10457,75401,8,8,1,True,64944,9,23,32,False,-1,COL2
10459,95401,1,1,1,True,84942,9,25,15,False,1,COL1
10487,78401,2,2,4,True,67914,9,16,35,False,-1,COL2
10499,99401,5,5,7,True,88902,9,28,19,False,-1,COL2
10613,31601,2,2,4,True,20988,9,31,3,False,-1,COL2
10639,93601,1,1,1,True,82962,9,20,28,False,1,COL1
10651,15601,4,4,7,True,4950,9,32,24,False,1,COL1
10711,11701,1,1,1,True,990,9,18,9,False,1,COL1
10739,93701,2,2,4,True,82962,9,9,17,False,-1,COL2
10781,18701,8,8,1,True,7920,9,14,16,False,-1,COL2
10853,35801,8,8,1,True,24948,9,12,22,False,-1,COL2
10859,95801,5,5,7,True,84942,9,18,8,False,-1,COL2
10867,76801,4,4,7,True,65934,9,26,26,True,1,COL1
10889,98801,8,8,1,True,87912,9,11,11,True,-1,COL2
10891,19801,1,1,1,True,8910,9,13,6,False,1,COL1
10909,90901,1,1,1,True,79992,9,31,29,False,1,COL1
10939,93901,4,4,7,True,82962,9,24,32,False,1,COL1
10987,78901,7,7,4,True,67914,9,35,17,False,1,COL1
10993,39901,4,4,7,True,28908,9,4,15,False,1,COL1
11003,30011,5,5,7,True,19008,9,14,4,False,-1,COL2
11057,75011,5,5,7,True,63954,9,31,12,False,-1,COL2
11071,17011,1,1,1,True,5940,9,8,28,False,1,COL1
11083,38011,4,4,7,True,26928,9,20,12,False,1,COL1
11149,94111,7,7,4,True,82962,9,12,20,False,1,COL1
11159,95111,8,8,1,True,83952,9,22,21,False,-1,COL2
11161,16111,1,1,1,True,4950,9,24,16,False,1,COL1
11197,79111,1,1,1,True,67914,9,23,5,False,1,COL1
11243,34211,2,2,4,True,22968,9,32,23,False,-1,COL2
11257,75211,7,7,4,True,63954,9,9,27,False,1,COL1
11329,92311,7,7,4,True,80982,9,7,33,False,1,COL1
11353,35311,4,4,7,True,23958,9,31,13,False,1,COL1
11423,32411,2,2,4,True,20988,9,27,36,False,-1,COL2
11447,74411,8,8,1,True,62964,9,14,4,False,-1,COL2
11489,98411,5,5,7,True,86922,9,19,28,False,-1,COL2
11497,79411,4,4,7,True,67914,9,27,9,False,1,COL1
11551,15511,4,4,7,True,3960,9,7,8,False,1,COL1
11579,97511,5,5,7,True,85932,9,35,16,False,-1,COL2
11587,78511,4,4,7,True,66924,9,6,34,False,1,COL1
11593,39511,1,1,1,True,27918,9,12,32,False,1,COL1
11621,12611,2,2,4,True,990,9,3,31,False,-1,COL2
11657,75611,2,2,4,True,63954,9,2,20,False,-1,COL2
11677,77611,4,4,7,True,65934,9,22,22,True,1,COL1
11699,99611,8,8,1,True,87912,9,7,7,True,-1,COL2
11717,71711,8,8,1,True,59994,9,25,5,False,-1,COL2
11719,91711,1,1,1,True,79992,9,27,25,False,1,COL1
11731,13711,4,4,7,True,1980,9,2,21,False,1,COL1
11777,77711,5,5,7,True,65934,9,11,11,True,-1,COL2
11779,97711,7,7,4,True,85932,9,13,31,False,1,COL1
11783,38711,2,2,4,True,26928,9,17,9,False,-1,COL2
11789,98711,8,8,1,True,86922,9,23,32,False,-1,COL2
11833,33811,7,7,4,True,21978,9,30,30,True,1,COL1
11839,93811,4,4,7,True,81972,9,36,16,False,1,COL1
11897,79811,8,8,1,True,67914,9,20,2,False,-1,COL2
11903,30911,5,5,7,True,19008,9,26,16,False,-1,COL2
11909,90911,2,2,4,True,79002,9,32,2,False,-1,COL2
11923,32911,7,7,4,True,20988,9,9,18,False,1,COL1
11927,72911,2,2,4,True,60984,9,13,21,False,-1,COL2
11933,33911,8,8,1,True,21978,9,19,19,True,-1,COL2
11939,93911,5,5,7,True,81972,9,25,5,False,-1,COL2
11953,35911,1,1,1,True,23958,9,2,21,False,1,COL1
11959,95911,7,7,4,True,83952,9,8,7,False,1,COL1
11969,96911,8,8,1,True,84942,9,18,8,False,-1,COL2
11971,17911,1,1,1,True,5940,9,20,3,False,1,COL1
11981,18911,2,2,4,True,6930,9,30,4,False,-1,COL2
12071,17021,2,2,4,True,4950,9,9,1,False,-1,COL2
12073,37021,4,4,7,True,24948,9,11,21,False,1,COL1
12107,70121,2,2,4,True,58014,9,8,6,False,-1,COL2
12109,90121,4,4,7,True,78012,9,10,26,False,1,COL1
12113,31121,8,8,1,True,19008,9,14,4,False,-1,COL2
12119,91121,5,5,7,True,79002,9,20,27,False,-1,COL2
12149,94121,8,8,1,True,81972,9,13,30,False,-1,COL2
12227,72221,5,5,7,True,59994,9,17,34,False,-1,COL2
12241,14221,1,1,1,True,1980,9,31,13,False,1,COL1
12253,35221,4,4,7,True,22968,9,6,34,False,1,COL1
12269,96221,2,2,4,True,83952,9,22,21,False,-1,COL2
12289,98221,4,4,7,True,85932,9,5,23,False,1,COL1
12323,32321,2,2,4,True,19998,9,2,20,False,-1,COL2
12373,37321,7,7,4,True,24948,9,15,25,False,1,COL1
12437,73421,8,8,1,True,60984,9,5,13,False,-1,COL2
12491,19421,8,8,1,True,6930,9,22,33,False,-1,COL2
12547,74521,1,1,1,True,61974,9,4,3,False,1,COL1
12553,35521,7,7,4,True,22968,9,10,1,False,1,COL1
12577,77521,4,4,7,True,64944,9,34,6,False,1,COL1
12619,91621,1,1,1,True,79002,9,2,9,False,1,COL1
12641,14621,5,5,7,True,1980,9,24,6,False,-1,COL2
12659,95621,5,5,7,True,82962,9,5,13,False,-1,COL2
12689,98621,8,8,1,True,85932,9,35,16,False,-1,COL2
12697,79621,7,7,4,True,66924,9,6,34,False,1,COL1
12713,31721,5,5,7,True,19008,9,22,12,False,-1,COL2
12743,34721,8,8,1,True,21978,9,15,15,True,-1,COL2
12757,75721,4,4,7,True,62964,9,29,19,False,1,COL1
12763,36721,1,1,1,True,23958,9,35,17,False,1,COL1
12799,99721,1,1,1,True,86922,9,34,6,False,1,COL1
12809,90821,2,2,4,True,78012,9,7,23,False,-1,COL2
12829,92821,4,4,7,True,79992,9,27,25,False,1,COL1
12841,14821,7,7,4,True,1980,9,2,21,False,1,COL1
12893,39821,5,5,7,True,26928,9,17,9,False,-1,COL2
12907,70921,1,1,1,True,58014,9,31,29,False,1,COL1
12919,91921,4,4,7,True,79002,9,6,13,False,1,COL1
12983,38921,5,5,7,True,25938,9,33,34,False,-1,COL2
13009,90031,4,4,7,True,77022,9,22,10,False,1,COL1
13043,34031,2,2,4,True,20988,9,19,28,False,-1,COL2
13147,74131,7,7,4,True,60984,9,12,20,False,1,COL1
13151,15131,2,2,4,True,1980,9,16,35,False,-1,COL2
13159,95131,1,1,1,True,81972,9,24,4,False,1,COL1
13163,36131,5,5,7,True,22968,9,28,19,False,-1,COL2
13259,95231,2,2,4,True,81972,9,13,30,False,-1,COL2
13267,76231,1,1,1,True,62964,9,21,11,False,1,COL1
13291,19231,7,7,4,True,5940,9,8,28,False,1,COL1
13297,79231,4,4,7,True,65934,9,14,14,True,1,COL1
13337,73331,8,8,1,True,59994,9,17,34,False,-1,COL2
13441,14431,4,4,7,True,990,9,10,1,False,1,COL1
13457,75431,2,2,4,True,61974,9,26,25,False,-1,COL2
13469,96431,5,5,7,True,82962,9,1,9,False,-1,COL2
13477,77431,4,4,7,True,63954,9,9,27,False,1,COL1
13499,99431,8,8,1,True,85932,9,31,12,False,-1,COL2
13513,31531,4,4,7,True,18018,9,8,7,False,1,COL1
13523,32531,5,5,7,True,19008,9,18,8,False,-1,COL2
13553,35531,8,8,1,True,21978,9,11,11,True,-1,COL2
13591,19531,1,1,1,True,5940,9,12,32,False,1,COL1
13597,79531,7,7,4,True,65934,9,18,18,True,1,COL1
13619,91631,2,2,4,True,78012,9,3,19,False,-1,COL2
13693,39631,4,4,7,True,25938,9,3,4,False,1,COL1
13697,79631,8,8,1,True,65934,9,7,7,True,-1,COL2
13709,90731,2,2,4,True,77022,9,19,7,False,-1,COL2
13751,15731,8,8,1,True,1980,9,24,6,False,-1,COL2
13757,75731,5,5,7,True,61974,9,30,29,False,-1,COL2
13759,95731,7,7,4,True,81972,9,32,12,False,1,COL1
13781,18731,2,2,4,True,4950,9,17,9,False,-1,COL2
13789,98731,1,1,1,True,84942,9,25,15,False,1,COL1
13829,92831,5,5,7,True,79002,9,28,35,False,-1,COL2
13841,14831,8,8,1,True,990,9,3,31,False,-1,COL2
13873,37831,4,4,7,True,23958,9,35,17,False,1,COL1
13903,30931,7,7,4,True,17028,9,28,36,False,1,COL1
13933,33931,1,1,1,True,19998,9,21,2,False,1,COL1
13963,36931,4,4,7,True,22968,9,14,5,False,1,COL1
14029,92041,7,7,4,True,78012,9,6,22,False,1,COL1
14057,75041,8,8,1,True,60984,9,34,5,False,-1,COL2
14071,17041,4,4,7,True,2970,9,11,21,False,1,COL1
14081,18041,5,5,7,True,3960,9,21,22,False,-1,COL2
14087,78041,2,2,4,True,63954,9,27,8,False,-1,COL2
14107,70141,4,4,7,True,56034,9,10,26,False,1,COL1
14143,34141,4,4,7,True,19998,9,9,27,False,1,COL1
14153,35141,5,5,7,True,20988,9,19,28,False,-1,COL2
14177,77141,2,2,4,True,62964,9,6,33,False,-1,COL2
14207,70241,5,5,7,True,56034,9,36,15,False,-1,COL2
14251,15241,4,4,7,True,990,9,6,34,False,1,COL1
14293,39241,1,1,1,True,24948,9,11,21,False,1,COL1
14303,30341,2,2,4,True,16038,9,21,1,False,-1,COL2
14323,32341,4,4,7,True,18018,9,4,3,False,1,COL1
14327,72341,8,8,1,True,58014,9,8,6,False,-1,COL2
14387,78341,5,5,7,True,63954,9,31,12,False,-1,COL2
14423,32441,5,5,7,True,18018,9,30,29,False,-1,COL2
14447,74441,2,2,4,True,59994,9,17,34,False,-1,COL2
14449,94441,4,4,7,True,79992,9,19,17,False,1,COL1
14479,97441,7,7,4,True,82962,9,12,20,False,1,COL1
14519,91541,2,2,4,True,77022,9,15,3,False,-1,COL2
14549,94541,5,5,7,True,79992,9,8,6,False,-1,COL2
14551,15541,7,7,4,True,990,9,10,1,False,1,COL1
14557,75541,4,4,7,True,60984,9,16,24,False,1,COL1
14563,36541,1,1,1,True,21978,9,22,22,True,1,COL1
14591,19541,2,2,4,True,4950,9,13,5,False,-1,COL2
14593,39541,4,4,7,True,24948,9,15,25,False,1,COL1
14629,92641,4,4,7,True,78012,9,14,30,False,1,COL1
14633,33641,8,8,1,True,19008,9,18,8,False,-1,COL2
14657,75641,5,5,7,True,60984,9,5,13,False,-1,COL2
14713,31741,7,7,4,True,17028,9,24,32,False,1,COL1
14717,71741,2,2,4,True,57024,9,28,35,False,-1,COL2
14843,34841,2,2,4,True,19998,9,6,24,False,-1,COL2
14879,97841,2,2,4,True,82962,9,5,13,False,-1,COL2
14891,19841,5,5,7,True,4950,9,17,9,False,-1,COL2
14897,79841,2,2,4,True,64944,9,23,32,False,-1,COL2
14923,32941,1,1,1,True,18018,9,12,11,False,1,COL1
14929,92941,7,7,4,True,78012,9,18,34,False,1,COL1
14939,93941,8,8,1,True,79002,9,28,35,False,-1,COL2
14947,74941,7,7,4,True,59994,9,36,16,False,1,COL1
14957,75941,8,8,1,True,60984,9,9,17,False,-1,COL2
15013,31051,1,1,1,True,16038,9,28,8,False,1,COL1
15053,35051,5,5,7,True,19998,9,31,12,False,-1,COL2
15091,19051,7,7,4,True,3960,9,32,33,False,1,COL1
15139,93151,1,1,1,True,78012,9,6,22,False,1,COL1
15149,94151,2,2,4,True,79002,9,16,23,False,-1,COL2
15227,72251,8,8,1,True,57024,9,20,27,False,-1,COL2
15263,36251,8,8,1,True,20988,9,19,28,False,-1,COL2
15289,98251,7,7,4,True,82962,9,8,16,False,1,COL1
15299,99251,8,8,1,True,83952,9,18,17,False,-1,COL2
15307,70351,7,7,4,True,55044,9,26,14,False,1,COL1
15349,94351,4,4,7,True,79002,9,31,1,False,1,COL1
15377,77351,5,5,7,True,61974,9,22,21,False,-1,COL2
15383,38351,2,2,4,True,22968,9,28,19,False,-1,COL2
15461,16451,8,8,1,True,990,9,32,23,False,-1,COL2
15493,39451,4,4,7,True,23958,9,27,9,False,1,COL1
15497,79451,8,8,1,True,63954,9,31,12,False,-1,COL2
15527,72551,2,2,4,True,57024,9,24,31,False,-1,COL2
15643,34651,1,1,1,True,19008,9,29,19,False,1,COL1
15649,94651,7,7,4,True,79002,9,35,5,False,1,COL1
15661,16651,1,1,1,True,990,9,10,1,False,1,COL1
15667,76651,7,7,4,True,60984,9,16,24,False,1,COL1
15679,97651,1,1,1,True,81972,9,28,8,False,1,COL1
15683,38651,5,5,7,True,22968,9,32,23,False,-1,COL2
15733,33751,1,1,1,True,18018,9,8,7,False,1,COL1
15737,73751,5,5,7,True,58014,9,12,10,False,-1,COL2
15791,19751,5,5,7,True,3960,9,29,30,False,-1,COL2
15803,30851,8,8,1,True,15048,9,4,30,False,-1,COL2
15907,70951,4,4,7,True,55044,9,34,22,False,1,COL1
15919,91951,7,7,4,True,76032,9,9,6,False,1,COL1
15937,73951,7,7,4,True,58014,9,27,25,False,1,COL1
15973,37951,7,7,4,True,21978,9,26,26,True,1,COL1
16007,70061,5,5,7,True,54054,9,23,20,False,-1,COL2
16063,36061,7,7,4,True,19998,9,5,23,False,1,COL1
16073,37061,8,8,1,True,20988,9,15,24,False,-1,COL2
16103,30161,2,2,4,True,14058,9,8,6,False,-1,COL2
16127,72161,8,8,1,True,56034,9,32,11,False,-1,COL2
16193,39161,2,2,4,True,22968,9,24,15,False,-1,COL2
16217,71261,8,8,1,True,55044,9,11,36,False,-1,COL2
16223,32261,5,5,7,True,16038,9,17,34,False,-1,COL2
16249,94261,4,4,7,True,78012,9,6,22,False,1,COL1
16267,76261,4,4,7,True,59994,9,24,4,False,1,COL1
16427,72461,2,2,4,True,56034,9,36,15,False,-1,COL2
16433,33461,8,8,1,True,17028,9,5,13,False,-1,COL2
16453,35461,1,1,1,True,19008,9,25,15,False,1,COL1
16481,18461,2,2,4,True,1980,9,16,35,False,-1,COL2
16493,39461,5,5,7,True,22968,9,28,19,False,-1,COL2
16547,74561,5,5,7,True,58014,9,8,6,False,-1,COL2
16567,76561,7,7,4,True,59994,9,28,8,False,1,COL1
16573,37561,4,4,7,True,20988,9,34,6,False,1,COL1
16603,30661,7,7,4,True,14058,9,27,25,False,1,COL1
16691,19661,5,5,7,True,2970,9,4,14,False,-1,COL2
16699,99661,4,4,7,True,82962,9,12,20,False,1,COL1
16729,92761,7,7,4,True,76032,9,5,2,False,1,COL1
16747,74761,7,7,4,True,58014,9,23,21,False,1,COL1
16763,36761,5,5,7,True,19998,9,2,20,False,-1,COL2
16829,92861,8,8,1,True,76032,9,31,28,False,-1,COL2
16879,97861,4,4,7,True,80982,9,7,33,False,1,COL1
16883,38861,8,8,1,True,21978,9,11,11,True,-1,COL2
16937,73961,8,8,1,True,57024,9,28,35,False,-1,COL2
16943,34961,5,5,7,True,18018,9,34,33,False,-1,COL2
16979,97961,5,5,7,True,80982,9,33,22,False,-1,COL2
17033,33071,5,5,7,True,16038,9,13,30,False,-1,COL2
17047,74071,1,1,1,True,57024,9,27,34,False,1,COL1
17117,71171,8,8,1,True,54054,9,23,20,False,-1,COL2
17203,30271,4,4,7,True,13068,9,35,5,False,1,COL1
17207,70271,8,8,1,True,53064,9,2,8,False,-1,COL2
17209,90271,1,1,1,True,73062,9,4,28,False,1,COL1
17383,38371,4,4,7,True,20988,9,30,2,False,1,COL1
17393,39371,5,5,7,True,21978,9,3,3,True,-1,COL2
17417,71471,2,2,4,True,54054,9,27,24,False,-1,COL2
17443,34471,1,1,1,True,17028,9,16,24,False,1,COL1
17467,76471,7,7,4,True,59004,9,3,29,False,1,COL1
17477,77471,8,8,1,True,59994,9,13,30,False,-1,COL2
17491,19471,4,4,7,True,1980,9,27,9,False,1,COL1
17519,91571,5,5,7,True,74052,9,18,33,False,-1,COL2
17573,37571,5,5,7,True,19998,9,35,16,False,-1,COL2
17579,97571,2,2,4,True,79992,9,4,2,False,-1,COL2
17599,99571,4,4,7,True,81972,9,24,4,False,1,COL1
17627,72671,5,5,7,True,55044,9,15,3,False,-1,COL2
17669,96671,2,2,4,True,79002,9,20,27,False,-1,COL2
17681,18671,5,5,7,True,990,9,32,23,False,-1,COL2
17683,38671,7,7,4,True,20988,9,34,6,False,1,COL1
17713,31771,1,1,1,True,14058,9,27,25,False,1,COL1
17737,73771,7,7,4,True,56034,9,14,30,False,1,COL1
17747,74771,8,8,1,True,57024,9,24,31,False,-1,COL2
17749,94771,1,1,1,True,77022,9,26,14,False,1,COL1
17827,72871,7,7,4,True,55044,9,30,18,False,1,COL1
17839,93871,1,1,1,True,76032,9,5,2,False,1,COL1
17863,36871,7,7,4,True,19008,9,29,19,False,1,COL1
17903,30971,2,2,4,True,13068,9,32,2,False,-1,COL2
17909,90971,8,8,1,True,73062,9,1,25,False,-1,COL2
17923,32971,4,4,7,True,15048,9,15,4,False,1,COL1
17939,93971,2,2,4,True,76032,9,31,28,False,-1,COL2
17959,95971,4,4,7,True,78012,9,14,30,False,1,COL1
18013,31081,4,4,7,True,13068,9,31,1,False,1,COL1
18077,77081,5,5,7,True,59004,9,21,10,False,-1,COL2
18089,98081,8,8,1,True,79992,9,33,31,False,-1,COL2
18133,33181,7,7,4,True,15048,9,3,29,False,1,COL1
18169,96181,7,7,4,True,78012,9,2,18,False,1,COL1
18191,19181,2,2,4,True,990,9,24,15,False,-1,COL2
18199,99181,1,1,1,True,80982,9,32,21,False,1,COL1
18253,35281,1,1,1,True,17028,9,12,20,False,1,COL1
18269,96281,8,8,1,True,78012,9,28,7,False,-1,COL2
18307,70381,1,1,1,True,52074,9,29,7,False,1,COL1
18329,92381,5,5,7,True,74052,9,14,29,False,-1,COL2
18353,35381,2,2,4,True,17028,9,1,9,False,-1,COL2
18379,97381,1,1,1,True,79002,9,27,34,False,1,COL1
18413,31481,8,8,1,True,13068,9,24,31,False,-1,COL2
18427,72481,4,4,7,True,54054,9,1,35,False,1,COL1
18439,93481,7,7,4,True,75042,9,13,19,False,1,COL1
18539,93581,8,8,1,True,75042,9,2,8,False,-1,COL2
18593,39581,8,8,1,True,20988,9,19,28,False,-1,COL2
18637,73681,7,7,4,True,55044,9,26,14,False,1,COL1
18691,19681,7,7,4,True,990,9,6,34,False,1,COL1
18719,91781,8,8,1,True,73062,9,34,21,False,-1,COL2
18743,34781,5,5,7,True,16038,9,21,1,False,-1,COL2
18749,94781,2,2,4,True,76032,9,27,24,False,-1,COL2
18757,75781,1,1,1,True,57024,9,35,5,False,1,COL1
18773,37781,8,8,1,True,19008,9,14,4,False,-1,COL2
18787,78781,4,4,7,True,59994,9,28,8,False,1,COL1
18803,30881,2,2,4,True,12078,9,7,23,False,-1,COL2
18859,95881,4,4,7,True,77022,9,26,14,False,1,COL1
18899,99881,8,8,1,True,80982,9,29,18,False,-1,COL2
18913,31981,4,4,7,True,13068,9,6,13,False,1,COL1
19013,31091,5,5,7,True,12078,9,32,11,False,-1,COL2
19037,73091,2,2,4,True,54054,9,19,16,False,-1,COL2
19163,36191,2,2,4,True,17028,9,34,5,False,-1,COL2
19219,91291,4,4,7,True,72072,9,16,12,False,1,COL1
